################################################################
##Data NPD1                                                    #
##2017-11-20                                          ################################################################

param KK:=500;
param II:=70;
param TT:= 20;
param a:=3;

param F:=0.9;        # fixed costs
param U:=3;
param p:=0.7;
param R:=1;          # return level


param Max3:
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20:=
386	5.5	3.1	4.8	2.9	2.6	0.5	2.5	4.5	2.6	2.1	1.2	2.6	4.3	3.2	1.5	3.4	3.9	2.2	2.0	4.1	0.8	1.2	3.1	2.1	4.3	3.9	1.7	2.2	2.7	2.7	2.2	4.9	3.9	2.2	2.0	3.5	3.2	1.9	2.2	5.4	5.5	3.1	2.0	3.2	0.7	4.6	2.2	4.5	3.9	2.7	2.2	1.9	2.1	3.9	1.9	4.7	4.6	2.0	1.5	4.5	4.1	2.8	1.5	3.4	3.3	4.0	1.7	1.2	2.0	2.1
387	4.0	1.2	2.6	1.3	2.6	1.8	1.6	3.3	3.8	1.9	2.0	2.0	3.5	1.6	2.2	3.7	2.9	2.2	2.4	4.8	4.7	2.9	1.9	3.8	4.8	2.9	1.2	0.7	3.4	2.7	2.3	2.3	3.2	4.0	2.6	1.7	5.4	3.1	1.1	2.6	3.3	1.8	1.2	3.2	2.5	0.9	1.8	2.8	1.9	2.9	1.2	1.6	5.1	3.4	2.0	1.3	5.0	3.4	1.4	3.0	1.6	1.7	1.5	2.3	5.0	2.1	2.4	3.8	1.2	1.2
388	4.9	5.4	1.2	4.1	3.0	1.8	1.9	1.3	4.3	3.5	2.0	4.3	3.1	1.9	1.5	1.9	3.2	1.6	2.6	1.7	2.9	2.1	2.2	2.9	1.9	3.9	1.3	3.1	5.0	1.6	1.2	2.8	3.2	2.7	2.2	3.2	4.1	1.4	2.2	1.6	4.7	3.0	2.5	2.5	3.1	2.8	2.4	5.2	3.1	1.6	2.7	3.3	4.1	2.1	2.5	3.5	2.1	2.3	2.2	3.7	2.4	2.5	2.3	3.5	1.8	2.8	1.2	2.6	1.8	2.2
389	0.8	4.6	3.8	1.3	0.8	2.1	1.3	4.3	3.9	2.5	3.0	3.4	3.4	2.2	2.7	3.5	3.5	2.7	1.7	2.9	4.4	3.2	1.5	3.7	4.3	1.9	3.1	3.5	4.1	3.6	2.8	3.5	1.3	4.1	1.7	5.6	6.5	4.7	1.2	2.4	2.3	3.7	1.9	2.2	1.6	2.6	2.2	3.2	4.2	2.1	1.6	3.2	5.8	2.4	1.5	3.5	3.6	2.2	1.9	2.7	2.8	0.7	1.0	4.0	2.9	1.7	0.9	1.7	1.7	1.3
390	1.9	4.1	2.5	1.3	2.6	2.1	0.7	3.8	5.5	3.6	2.1	0.6	3.5	1.9	1.0	3.3	1.3	1.7	2.2	2.5	3.9	3.2	0.9	3.8	2.6	3.5	3.2	1.6	2.9	3.5	1.5	5.6	1.7	2.4	1.2	2.9	2.7	3.2	3.2	5.3	6.1	2.1	2.9	4.5	3.0	2.7	1.8	4.9	4.3	2.4	2.9	4.0	4.4	2.7	1.2	2.2	3.9	3.5	1.3	5.3	4.1	3.4	1.4	2.9	1.8	2.1	1.5	2.4	1.9	2.1
391	3.6	2.1	1.2	2.1	1.9	0.8	1.0	1.6	6.1	3.5	2.2	5.3	4.6	3.4	1.3	3.6	1.2	2.7	2.0	2.8	4.3	2.9	2.7	5.0	2.6	2.0	2.4	1.4	5.7	2.8	2.5	2.3	1.6	1.4	2.0	2.4	3.5	3.1	2.3	3.1	3.6	1.9	2.1	3.1	3.9	2.1	2.1	2.7	3.7	3.1	2.1	2.6	4.3	3.9	2.1	5.7	3.0	1.9	1.2	4.4	4.4	3.6	2.7	2.6	1.3	3.4	1.9	3.9	2.1	1.7
392	2.8	1.2	1.6	2.9	2.6	2.4	1.6	3.9	5.0	3.9	2.2	3.9	4.9	2.2	1.0	2.9	3.5	2.9	1.5	4.1	5.1	3.3	1.4	3.2	2.6	3.1	1.6	3.3	5.9	2.7	1.7	4.3	4.0	1.9	1.9	3.2	2.9	2.5	1.4	1.6	4.9	1.6	1.6	3.4	4.3	5.0	2.5	3.4	2.1	2.5	1.5	2.1	4.1	2.6	1.3	1.1	2.6	2.4	1.7	2.4	4.8	4.5	1.5	3.2	2.9	2.9	2.2	3.6	2.0	1.2
393	1.3	5.5	2.6	4.1	2.3	1.8	1.9	4.4	4.4	2.7	1.5	4.9	2.2	2.7	2.5	5.1	2.1	3.1	2.0	4.1	5.3	3.1	1.9	5.4	3.4	3.4	2.3	6.8	4.3	3.1	1.9	2.4	3.0	4.0	1.0	4.7	3.8	3.2	2.2	1.9	3.6	3.8	1.8	2.7	2.2	2.8	1.6	4.4	4.9	3.9	1.7	3.2	1.8	2.7	2.2	5.4	4.3	3.7	1.2	3.4	3.0	4.4	1.8	2.4	6.5	1.9	1.8	2.5	2.7	1.5
394	2.8	5.4	0.2	3.3	3.7	2.8	1.6	4.0	3.5	1.3	2.0	2.0	5.3	2.6	2.7	2.6	4.9	2.5	2.7	3.7	3.9	1.7	2.6	4.0	4.4	1.3	1.5	5.7	2.9	1.5	2.7	2.2	5.2	4.4	1.6	3.4	2.9	3.0	1.0	3.2	3.2	3.1	0.8	3.3	1.8	3.7	2.8	4.5	2.6	1.5	2.0	2.8	4.7	1.9	1.7	3.1	2.9	3.4	2.0	3.0	1.9	3.0	2.8	4.1	1.1	3.5	2.2	1.9	2.9	1.9
395	5.1	4.1	4.8	4.1	0.8	1.5	2.2	2.1	2.6	3.2	1.3	5.0	3.2	2.1	1.8	1.6	0.8	1.9	1.8	2.6	2.7	4.0	1.0	1.2	3.6	3.8	2.0	3.0	4.1	2.2	2.4	3.4	3.5	2.2	1.3	4.1	2.2	2.6	2.0	4.5	5.7	3.7	1.2	4.5	2.6	1.0	1.6	6.0	4.9	1.6	1.7	2.9	2.7	3.5	1.2	3.6	3.1	2.2	2.3	4.0	3.1	2.5	2.0	5.0	3.1	2.4	1.9	3.4	2.5	3.0
396	3.8	2.7	1.2	3.7	2.3	2.4	1.3	4.4	2.6	1.9	1.5	1.6	3.5	1.9	1.6	0.9	4.4	2.7	1.5	5.5	4.1	2.7	2.3	2.5	4.9	1.9	1.3	2.6	6.5	3.8	1.9	4.9	4.6	2.5	2.2	3.2	4.0	1.7	2.3	1.8	2.7	2.5	1.7	1.9	4.6	2.7	3.1	6.0	1.9	3.7	2.7	3.0	6.4	2.8	2.5	0.9	4.5	2.2	2.7	4.2	6.3	3.5	1.0	3.4	5.2	2.1	2.0	1.1	3.3	1.6
397	1.9	3.6	5.2	3.7	2.6	2.1	1.6	4.5	3.3	3.2	1.8	0.6	2.6	3.8	1.7	3.8	0.7	2.2	1.5	4.1	2.6	1.8	2.7	2.0	1.1	3.8	2.3	3.1	2.6	1.9	1.5	4.5	4.1	3.6	1.6	5.2	2.7	2.4	1.5	4.3	2.0	2.8	2.5	4.9	2.8	2.1	2.0	3.5	3.6	2.2	1.2	2.2	4.8	3.0	2.0	3.5	3.2	2.8	1.2	2.6	4.7	1.7	2.6	4.9	4.2	3.0	2.7	3.7	2.0	2.1
398	3.4	3.6	5.2	3.7	2.6	1.8	1.3	4.5	4.9	3.4	2.0	2.6	1.9	1.8	1.5	3.1	3.1	4.2	2.4	3.0	4.9	2.7	2.1	2.6	2.6	3.1	3.2	2.1	4.2	1.4	2.1	0.7	3.5	2.6	2.5	3.6	4.5	1.6	1.5	3.1	2.2	2.8	1.8	5.0	2.8	3.8	1.7	4.0	3.8	2.9	2.1	3.9	3.5	2.0	1.7	2.5	1.9	2.5	2.5	3.1	5.3	2.4	1.3	5.0	4.3	4.2	0.9	2.9	2.2	2.6
399	5.6	1.2	2.9	3.3	3.3	1.1	1.6	3.7	3.9	3.2	2.2	3.9	2.7	2.5	2.5	3.2	3.9	3.3	1.8	2.5	4.7	1.7	1.6	4.0	3.9	3.4	1.2	5.0	5.0	3.1	1.5	2.9	3.9	2.7	2.6	3.3	5.0	3.2	1.2	1.6	2.9	1.8	2.3	3.1	3.9	2.6	2.0	3.0	6.0	2.9	2.9	3.8	4.3	3.1	1.3	4.6	4.9	2.7	1.9	6.6	3.9	2.3	1.0	3.2	4.5	2.7	1.5	3.1	1.0	1.5
400	6.1	1.7	2.6	2.1	2.6	2.8	1.6	0.7	4.4	1.6	2.7	4.0	4.8	4.0	1.3	2.3	0.7	2.2	1.5	5.7	3.8	2.2	2.4	3.6	3.6	3.6	2.0	2.3	1.6	2.9	2.2	3.3	4.1	2.4	1.5	4.1	5.0	4.6	1.8	3.0	3.7	2.2	2.2	3.9	5.7	2.4	1.9	4.1	5.3	2.9	1.6	2.9	2.8	2.2	1.7	3.3	4.3	1.2	1.8	2.1	2.1	1.5	1.7	3.5	4.3	3.5	2.5	2.9	2.7	2.0
401	2.9	5.0	2.9	2.5	0.8	1.8	2.2	7.1	3.0	2.2	2.4	4.3	3.7	1.4	1.3	4.3	3.7	2.1	2.2	3.6	1.3	2.9	2.5	5.7	4.6	3.0	2.0	3.3	2.6	1.2	1.7	3.2	3.6	2.1	2.2	3.0	6.3	2.7	2.5	3.5	1.2	2.4	2.5	3.9	1.8	3.5	1.7	1.9	4.1	1.2	1.5	4.1	4.0	2.5	2.2	4.8	3.8	2.5	1.3	2.5	3.1	1.9	2.4	3.2	6.1	2.1	1.5	3.8	2.1	1.8
402	4.4	4.0	1.5	4.5	2.3	1.8	1.9	3.0	4.3	1.9	1.5	5.1	3.1	3.1	1.2	5.0	3.2	2.5	1.8	5.2	4.4	3.3	1.3	2.3	3.4	1.9	2.4	3.7	2.6	0.7	2.4	3.5	2.5	3.5	1.2	3.4	1.8	2.7	2.0	4.2	1.6	1.9	1.2	3.9	3.9	2.0	2.0	2.9	2.4	3.2	1.9	2.0	3.4	3.8	1.7	4.2	1.3	1.5	2.2	2.8	4.1	2.4	1.3	4.5	4.7	2.9	2.6	3.0	0.6	2.2
403	6.6	2.7	2.9	2.1	1.5	2.1	1.3	3.1	2.4	2.8	1.5	3.5	3.0	2.6	2.0	3.3	5.5	2.2	1.5	4.7	6.3	4.6	2.4	4.5	3.3	1.2	1.2	3.4	7.5	1.6	2.1	2.8	4.8	2.9	1.5	3.1	3.3	3.5	1.5	5.1	2.7	2.4	2.4	5.1	2.1	2.9	2.6	4.5	3.1	3.1	1.8	5.6	3.9	2.9	0.9	2.5	3.0	3.1	1.8	4.2	4.1	2.2	1.7	3.8	3.2	1.2	2.1	3.9	2.0	1.8
404	2.8	3.2	1.6	4.1	4.4	2.4	1.3	3.9	3.6	1.5	1.8	2.8	7.1	3.1	2.0	2.1	1.6	4.1	2.3	2.0	1.9	2.3	1.5	2.9	1.6	3.3	1.6	2.4	4.3	3.0	3.1	3.2	4.9	2.4	2.0	2.5	2.9	3.1	1.9	2.5	2.7	1.5	1.7	3.9	2.2	1.2	1.2	6.8	2.1	4.9	1.0	1.9	2.6	4.0	2.7	3.0	5.3	1.2	0.9	2.1	4.1	2.8	1.9	5.3	3.8	3.4	1.9	2.2	2.4	1.5
405	3.4	1.7	3.4	3.7	2.3	1.1	0.7	3.5	4.1	2.6	2.1	3.5	2.9	1.9	1.4	2.2	3.9	2.7	2.6	5.1	2.6	2.6	2.4	1.5	2.9	2.3	2.8	4.3	3.2	4.1	0.7	2.1	2.6	2.7	1.5	2.5	4.7	3.5	1.8	5.7	2.8	1.6	1.5	3.3	1.6	1.2	2.2	3.4	1.8	3.8	3.3	4.1	2.3	3.8	1.3	3.8	2.5	3.7	2.2	2.9	2.1	3.8	1.9	4.2	4.8	1.8	1.7	2.4	2.2	2.5
406	4.0	5.0	2.9	3.3	3.3	1.5	1.9	2.4	4.1	2.8	1.6	1.9	6.8	2.6	2.2	6.1	2.1	4.1	2.5	4.5	4.2	3.3	1.4	1.6	2.4	1.5	1.5	0.8	4.3	2.0	1.0	2.2	4.7	3.6	2.0	2.3	3.1	1.4	0.8	2.0	3.8	4.6	2.0	4.5	5.9	2.4	2.2	4.5	4.4	4.2	1.9	2.2	4.9	1.8	1.3	2.9	2.3	2.3	2.7	4.1	3.1	3.1	3.0	4.0	5.7	4.1	1.7	2.2	1.5	2.0
407	3.4	4.5	2.0	3.7	3.7	1.5	2.5	3.1	1.5	2.2	1.4	3.1	2.6	2.7	1.7	2.9	2.4	4.6	2.1	3.5	3.6	2.1	2.2	1.5	4.3	2.3	2.4	2.3	1.6	2.9	2.1	2.3	5.3	1.5	2.3	3.3	5.0	2.9	2.5	0.8	6.4	3.1	2.2	4.5	2.0	1.9	1.8	5.5	3.0	2.5	1.5	3.2	0.7	3.7	1.8	3.1	1.3	3.5	1.5	4.7	2.3	2.2	2.4	3.2	4.5	1.1	2.1	2.8	2.3	1.9
408	4.0	4.1	2.0	4.5	1.9	2.8	1.0	1.3	2.1	2.1	2.1	4.7	4.0	1.8	2.4	3.1	3.4	3.9	1.8	2.9	6.1	4.6	2.4	1.9	3.2	3.0	1.7	2.0	3.3	2.9	2.5	3.0	3.5	1.7	2.1	1.6	2.1	1.5	2.7	2.0	3.8	2.5	2.0	2.4	4.0	4.1	2.5	2.7	4.1	3.6	1.4	4.8	4.7	3.7	2.1	2.7	3.0	1.6	1.8	2.0	2.6	3.6	1.8	4.7	5.6	4.1	1.5	2.2	3.2	2.7
409	2.5	4.1	3.8	2.9	2.6	2.1	1.6	2.3	2.6	2.2	1.3	2.7	4.1	2.7	2.1	2.9	2.6	3.7	1.2	4.9	2.3	2.4	2.6	4.1	5.0	2.2	1.8	2.7	3.1	2.8	2.0	4.1	4.1	3.6	1.2	1.5	3.6	3.0	1.2	3.1	3.2	3.7	1.5	2.6	5.5	2.9	1.8	3.1	5.1	1.4	2.2	4.6	3.1	3.1	1.7	2.7	3.3	1.6	2.4	2.4	1.3	2.3	1.8	4.8	4.2	3.2	1.8	2.2	3.0	1.7
410	5.6	4.5	3.1	4.1	1.9	1.8	1.6	1.7	4.5	3.4	2.6	5.3	3.8	4.1	1.6	5.5	4.3	2.6	2.1	4.3	4.9	4.1	2.9	3.4	4.3	1.9	1.3	2.6	3.6	2.5	1.2	0.8	4.5	2.6	1.8	3.2	4.3	2.2	1.4	3.2	3.2	3.3	2.1	4.4	1.5	2.3	0.7	4.3	2.4	2.7	1.5	4.2	4.7	2.9	2.3	3.3	4.9	1.8	2.3	3.0	4.1	2.5	1.5	4.5	2.3	2.3	2.6	2.0	1.4	2.3
411	5.5	3.1	5.2	2.5	3.7	3.1	1.9	4.6	2.3	2.9	1.3	5.4	2.0	3.1	1.8	2.5	3.6	3.9	1.7	1.6	3.6	1.8	1.3	2.0	5.0	3.4	1.1	1.2	2.5	4.0	2.7	3.8	2.9	3.6	1.5	4.6	1.9	2.7	1.4	5.3	4.6	3.5	1.7	3.8	3.3	2.5	2.2	6.3	2.6	2.3	2.3	1.9	2.6	3.6	3.0	2.2	3.1	3.8	2.3	1.9	1.9	3.2	1.3	1.8	3.6	2.7	1.2	2.9	2.0	2.1
412	3.4	2.1	2.9	2.9	1.5	1.5	0.7	5.2	3.0	4.0	1.1	2.0	3.5	3.3	1.3	3.9	1.1	2.2	1.5	4.0	2.2	2.3	1.6	3.5	3.3	3.9	1.4	2.9	3.0	2.0	1.1	3.0	2.7	2.4	1.3	4.3	4.9	3.3	2.3	2.9	6.1	1.9	1.8	2.1	5.2	2.2	2.2	3.3	2.9	3.0	1.8	3.0	2.9	1.9	1.5	4.2	4.4	1.7	2.0	3.8	4.2	3.2	2.5	2.9	3.6	3.4	1.3	3.3	2.1	2.7
413	3.4	2.6	2.0	1.7	2.6	1.8	1.6	4.0	2.6	1.9	1.8	2.2	4.3	3.9	2.9	5.8	2.9	2.7	2.2	4.5	4.3	4.2	2.7	4.6	3.0	3.2	0.7	2.6	4.2	2.7	1.9	2.9	3.5	2.5	1.4	4.4	1.7	2.6	2.4	2.2	2.6	3.5	2.2	4.8	2.8	3.2	1.7	3.8	4.9	2.7	1.4	2.8	2.5	1.9	2.8	4.5	3.0	2.8	0.9	2.7	1.8	2.4	1.2	6.5	3.6	3.9	1.7	1.8	1.9	1.5
414	6.1	2.1	4.2	1.7	4.8	1.1	2.2	3.8	5.6	3.4	1.8	3.2	2.6	1.8	2.3	4.5	2.7	2.8	0.7	1.8	4.1	2.1	2.0	5.1	4.7	3.8	1.7	2.2	4.2	3.0	2.8	1.8	4.5	3.5	1.7	2.1	2.2	2.3	1.8	3.6	5.0	3.9	1.2	3.4	4.4	2.5	2.5	3.8	5.8	2.6	2.6	2.0	2.9	2.6	1.7	4.6	4.9	1.2	1.8	3.9	1.5	2.0	1.4	2.5	2.7	4.6	1.6	3.9	1.0	1.7
415	1.8	2.1	3.9	2.5	4.1	2.4	1.3	3.6	5.8	1.9	2.4	3.6	4.4	3.9	1.3	3.3	3.8	1.9	2.4	5.1	4.8	4.0	1.5	5.3	5.9	3.4	1.8	3.7	5.1	2.0	2.3	1.8	3.1	3.9	1.7	4.6	3.8	3.4	1.9	4.9	1.7	2.7	2.8	3.4	5.5	2.5	1.2	2.9	3.4	4.2	2.1	2.8	5.8	1.2	2.7	5.8	5.9	4.4	1.5	2.6	3.7	2.1	1.3	3.0	2.2	2.7	2.7	3.8	1.0	2.1
416	5.6	3.6	4.8	2.5	3.3	1.8	1.6	3.9	2.3	2.6	2.3	2.4	2.7	2.8	1.7	4.8	1.6	2.4	2.7	3.9	4.2	3.1	1.6	1.9	2.4	2.1	1.3	3.6	4.9	3.1	2.3	3.4	4.7	4.2	1.3	4.1	2.2	3.8	2.3	4.5	3.2	2.1	2.6	2.5	4.2	3.4	3.0	3.0	5.4	3.9	2.4	2.0	4.5	2.2	2.1	4.0	5.0	3.3	1.9	2.8	2.0	2.1	1.6	3.3	2.4	2.3	2.2	3.2	1.3	1.5
417	4.4	3.7	2.9	2.9	3.3	2.4	1.6	3.8	1.3	3.9	2.0	3.4	3.1	2.0	0.9	1.5	4.2	2.4	2.7	2.0	3.4	2.7	2.2	5.0	4.7	2.8	1.8	2.8	4.4	3.1	1.6	5.4	4.7	2.2	2.4	2.9	3.4	2.0	2.1	3.2	2.6	2.7	1.7	3.6	2.9	3.5	1.7	1.1	3.6	2.8	1.2	4.3	2.1	3.7	2.1	4.2	2.9	3.9	3.1	3.6	3.3	2.4	1.2	4.7	4.9	2.0	1.5	2.2	2.4	2.0
418	2.9	2.1	2.5	4.9	1.9	2.1	0.7	2.5	3.0	3.7	1.5	2.3	3.2	2.7	1.7	1.6	3.8	2.5	0.9	2.4	1.6	1.5	1.4	3.5	2.6	1.8	2.6	4.5	5.9	2.6	2.2	1.6	2.3	1.4	1.2	4.1	5.0	2.3	1.4	3.8	5.3	1.5	3.2	2.3	3.3	3.5	1.8	3.9	3.0	1.4	1.7	3.0	3.9	1.6	2.3	1.6	1.6	3.3	1.9	4.7	2.6	2.2	1.8	4.9	4.0	3.3	2.4	4.9	1.9	1.5
419	3.8	2.6	2.6	3.7	3.3	1.1	1.9	2.3	2.1	1.6	1.5	3.1	3.3	3.4	1.6	2.2	2.6	2.9	3.0	2.1	2.7	3.3	1.5	3.9	2.9	2.1	1.5	0.8	4.3	3.3	2.5	4.1	2.1	2.7	2.2	1.8	3.5	2.7	2.5	4.7	3.8	5.0	1.5	4.2	3.1	2.5	1.7	2.8	2.6	4.3	1.2	3.3	1.6	2.9	2.1	3.4	4.3	3.5	2.1	3.2	5.1	3.5	1.3	2.6	3.3	3.6	1.3	3.7	1.1	1.2
420	4.0	4.4	3.5	4.5	2.6	2.8	1.6	4.5	3.5	2.4	3.1	4.5	2.9	2.7	1.8	4.8	3.4	2.8	2.7	2.3	2.4	4.0	1.8	2.7	5.2	2.5	2.6	2.7	1.6	2.4	1.4	5.3	5.7	2.4	2.1	3.8	5.2	2.2	1.7	3.8	2.3	3.0	1.6	5.7	4.3	2.4	2.4	2.4	3.1	1.9	1.5	2.3	5.9	2.2	2.4	3.2	4.4	3.6	2.2	3.7	6.8	1.8	2.7	3.5	5.1	3.2	3.1	2.6	2.6	2.0
421	6.1	2.7	2.0	2.9	1.9	2.1	2.8	3.0	3.6	2.4	1.2	4.7	2.3	2.2	2.0	1.9	3.1	3.0	1.5	4.5	4.3	2.0	2.0	2.3	3.3	2.8	1.0	3.8	1.7	0.9	1.7	3.1	3.7	1.8	1.5	4.8	2.6	2.3	1.4	4.5	1.2	4.7	1.7	1.8	5.7	2.5	2.0	3.0	2.2	3.9	2.3	3.1	3.3	2.8	1.5	2.5	3.8	2.5	2.9	3.7	1.9	2.1	2.1	3.3	3.4	3.1	2.3	4.2	1.3	1.8
422	3.4	2.6	4.8	1.7	2.3	1.5	3.1	4.8	3.9	3.3	1.8	2.3	2.1	3.7	1.1	6.1	2.9	2.9	1.2	4.6	3.4	2.0	2.2	3.8	3.6	2.8	2.3	4.5	1.9	3.2	2.1	2.5	2.9	1.8	1.7	4.2	4.8	4.0	1.5	3.6	5.3	2.7	2.1	2.7	3.8	3.5	1.5	4.3	3.6	2.5	2.1	2.7	1.3	4.4	1.5	4.0	3.7	1.9	2.4	3.6	1.8	3.2	2.5	5.4	4.7	4.6	1.5	1.7	1.9	1.3
423	4.0	5.1	3.5	2.5	4.4	2.4	2.5	1.2	5.6	2.4	2.5	3.6	1.2	3.7	1.4	3.0	5.6	2.6	1.8	3.0	2.1	2.8	2.9	3.2	3.1	2.5	1.2	2.1	3.3	2.4	1.2	5.3	4.8	1.9	2.5	1.8	5.5	3.8	1.8	3.9	4.1	1.5	2.8	4.2	3.5	3.3	2.1	1.9	2.7	2.0	2.3	1.5	2.2	3.4	1.5	2.7	5.0	2.3	1.5	2.4	3.0	1.8	3.0	0.8	5.5	3.6	2.3	4.1	1.7	1.2
424	3.3	5.4	3.4	1.7	3.7	1.8	2.5	3.5	2.7	2.5	1.0	2.9	2.6	3.7	2.9	4.1	4.0	3.4	1.7	2.2	5.2	2.0	2.0	3.7	3.5	2.1	1.5	3.7	3.7	3.4	2.0	2.9	5.3	2.5	1.7	4.1	1.7	1.7	2.4	3.3	3.5	2.7	1.5	4.1	1.6	2.6	1.8	4.8	3.5	3.2	1.6	5.4	2.7	2.2	1.5	5.1	3.9	2.5	1.4	2.9	2.8	2.4	1.5	4.3	2.9	3.6	1.8	2.9	1.9	2.7
425	5.1	3.1	3.3	0.9	2.6	2.8	1.3	4.2	2.1	3.9	3.1	4.0	3.8	3.8	2.2	2.8	5.1	3.3	1.8	4.1	3.2	2.2	2.6	5.6	4.9	3.8	2.9	2.6	3.4	2.3	1.2	6.5	4.2	2.3	1.5	0.8	4.8	2.7	2.4	5.6	2.2	3.1	2.0	2.3	1.9	4.2	1.7	4.3	4.8	4.2	2.0	4.4	2.7	3.0	2.7	5.3	2.6	4.4	1.6	4.5	3.1	3.5	1.7	2.8	3.2	2.7	1.5	1.4	1.0	1.5
426	4.1	3.6	3.3	4.5	3.7	2.1	1.3	3.1	3.2	0.9	1.8	4.6	5.5	2.8	1.0	3.9	0.7	0.8	1.7	4.1	2.7	2.5	2.4	4.2	3.6	2.5	1.8	3.6	4.1	4.7	1.3	1.1	3.0	4.2	1.1	3.6	5.2	1.6	1.8	3.1	1.3	3.7	1.2	3.7	1.1	1.8	1.8	4.9	4.0	2.3	1.5	2.1	5.0	2.4	2.4	4.0	5.7	4.2	2.0	3.6	5.2	2.6	2.9	3.9	6.1	3.1	1.0	3.1	2.0	1.5
427	4.4	2.6	1.6	1.7	3.3	1.5	0.7	2.3	3.3	1.8	1.6	2.7	3.1	2.6	1.7	5.2	2.2	3.1	1.8	4.3	0.8	3.7	2.5	4.0	1.8	2.1	2.9	3.9	4.5	2.4	2.5	4.5	3.0	2.7	1.3	3.4	3.7	4.2	3.1	1.3	4.2	1.8	1.4	4.4	4.0	4.3	1.5	4.2	6.1	3.4	2.6	4.8	4.1	2.7	2.1	2.4	2.6	3.8	2.6	3.9	3.2	4.0	2.5	3.9	4.2	2.5	1.5	3.0	2.4	2.5
428	1.3	3.6	1.6	2.9	1.9	1.1	3.1	1.8	2.6	0.8	2.8	3.5	3.5	1.6	2.9	3.1	5.0	2.7	2.1	4.3	4.1	3.1	1.9	0.6	3.0	4.4	2.4	3.2	2.4	2.0	1.9	3.8	4.2	2.2	1.6	2.7	4.0	4.2	2.2	4.3	1.8	0.9	2.1	2.1	4.2	3.2	1.0	4.0	3.3	1.6	1.2	5.3	3.8	2.2	1.8	1.7	1.6	2.5	2.0	3.9	4.4	2.8	1.5	4.8	1.6	1.6	2.2	2.2	2.4	1.5
429	5.0	4.1	3.5	2.9	3.7	1.8	0.4	1.9	2.8	1.8	2.7	4.2	3.0	3.2	1.3	1.2	2.4	1.0	2.2	4.5	5.5	2.3	1.6	3.3	2.4	1.4	1.2	3.5	3.5	2.0	2.7	1.9	4.1	3.1	2.8	1.6	3.9	3.0	2.0	2.7	3.6	2.0	2.1	4.7	4.0	3.1	2.1	3.6	3.1	2.9	2.0	2.4	7.1	3.6	2.5	4.7	4.8	3.6	1.1	3.7	5.3	2.4	1.6	3.1	3.7	2.3	1.8	4.5	1.7	2.2
430	3.4	6.5	5.2	2.1	2.3	2.1	2.8	1.6	2.4	3.1	1.5	2.0	4.9	3.4	1.5	1.9	3.4	2.0	1.9	5.0	2.9	2.8	2.5	4.7	6.3	3.1	1.0	3.7	4.1	1.7	2.1	4.2	3.5	2.3	1.3	2.4	2.0	2.7	1.3	1.5	3.8	1.7	2.0	3.0	3.6	3.7	1.5	3.8	3.5	3.5	1.9	3.1	2.6	3.9	1.7	6.4	2.8	2.2	2.1	3.9	3.8	2.4	2.9	3.0	1.6	1.9	1.1	3.8	1.7	1.5
431	4.0	2.7	2.1	2.9	2.6	2.8	1.6	3.6	4.5	3.9	1.1	4.3	3.3	2.9	1.2	4.0	3.4	2.2	1.9	4.2	0.8	3.4	2.3	2.1	4.2	2.5	2.1	4.3	4.5	3.2	2.0	3.1	3.9	2.8	1.7	5.4	2.5	2.8	2.0	3.5	4.3	3.6	1.4	3.3	6.8	2.8	1.5	3.0	2.0	2.1	2.6	4.8	3.2	3.3	2.3	3.9	4.9	2.9	3.0	1.9	5.2	2.8	2.8	3.9	3.2	4.6	1.8	3.2	2.4	2.7
432	3.0	3.2	1.2	4.9	2.6	1.1	1.3	5.5	3.3	3.1	1.0	3.1	3.4	2.0	1.6	4.1	5.3	2.7	1.8	3.7	4.4	2.4	1.2	2.7	3.8	1.2	1.5	2.4	2.1	2.8	1.7	4.8	3.8	3.0	1.9	3.6	5.1	4.7	2.9	2.0	7.5	3.2	1.3	1.5	2.8	1.2	1.3	3.4	5.0	3.7	1.8	4.0	3.8	2.1	1.0	2.1	5.3	3.1	1.5	3.2	2.5	1.4	2.4	4.8	3.1	3.5	2.5	1.7	2.0	2.3
433	2.3	0.7	2.4	2.9	2.6	2.4	2.5	1.6	5.5	1.4	2.1	2.4	3.3	3.7	1.2	3.9	3.6	2.8	2.3	3.3	1.7	2.2	2.1	3.5	1.5	2.5	1.8	1.8	3.6	2.6	2.1	2.2	4.7	2.9	1.5	3.1	4.3	3.8	1.8	2.2	3.8	2.5	2.4	1.9	4.7	1.9	2.0	2.2	4.9	3.9	3.1	3.0	3.9	2.4	1.0	3.0	2.9	2.8	1.6	3.3	2.4	1.4	1.9	2.1	3.6	3.2	1.9	4.2	1.7	2.1
434	1.4	3.6	2.9	1.7	2.3	1.8	2.2	4.2	4.0	2.1	1.7	4.1	4.2	1.6	1.5	4.5	1.8	3.9	2.0	1.2	4.7	1.6	2.5	4.1	1.5	3.7	2.4	5.3	2.5	4.6	2.3	4.5	4.2	2.8	1.7	6.3	4.1	0.9	1.2	4.2	3.2	2.2	2.0	2.3	4.4	3.9	2.5	2.9	1.9	1.8	1.8	3.2	0.8	2.7	1.7	3.6	2.1	1.8	1.1	4.1	3.6	3.6	2.0	5.0	4.1	2.5	2.0	4.4	2.3	2.1
